105,104,105,105,105
105,104,105,105,105
105,105,105,105,104
105,105,105,105,105
105,105,105,104,105
104,104,105,105,103
105,105,105,103,104
105,105,102,104,103
105,103,101,99,90
102,101,95,100,96
103,100,92,95,94
104,97,94,94,98
104,98,93,95,95
103,95,97,93,97
99,92,96,97,97
97,97,97,98,101
96,97,100,99,95
95,98,95,101,96
96,95,98,100,84
99,98,96,92,95
101,94,93,87,83
101,93,93,92,88
99,87,86,89,80
95,93,78,94,84
93,85,85,87,89
94,91,86,83,77
91,92,81,82,76
89,80,85,83,82
93,87,84,80,85
75,85,85,83,85
94,74,81,85,84
81,77,84,83,82
86,88,81,81,84
85,88,86,81,82
89,88,82,87,74
71,78,86,75,86
75,80,80,71,81
83,79,82,75,84
88,79,89,81,79
80,88,87,79,84
83,75,79,82,82
82,82,79,83,80
87,85,76,78,84
71,79,87,74,86
79,77,78,77,83
80,81,83,77,81
72,81,78,81,79
83,94,83,84,71
84,75,81,78,86
79,81,82,81,86
82,80,81,86,85
80,89,87,86,86
84,81,72,84,85
78,88,88,86,84
81,89,89,82,84
81,84,83,90,77
83,80,89,82,88
81,79,81,86,81
80,76,79,85,87
83,80,80,85,86
78,93,81,81,85
86,91,84,85,87
79,89,86,87,83
79,84,86,84,87
76,82,85,83,90
93,90,85,86,83
83,88,87,87,90
81,88,89,94,91
85,85,89,86,86
86,82,88,90,87
87,86,93,91,84
88,87,89,94,94
84,87,88,87,93
82,90,89,96,88
87,88,83,88,94
85,87,89,93,89
86,87,88,92,93
86,87,88,88,93
87,88,88,89,86
87,89,92,93,89
91,85,92,98,97
87,88,95,93,91
86,91,91,96,89
97,85,92,90,93
90,92,95,94,99
96,88,97,86,97
88,96,89,92,98
89,91,89,87,94
93,96,93,93,95
90,92,89,91,96
90,95,97,95,95
93,95,95,96,100
92,93,98,98,99
92,84,96,95,99
93,94,90,95,96
87,92,96,99,99
90,88,95,97,92
95,93,93,95,101
87,96,99,98,97
94,93,97,93,96
