0,0.091592,0,0,0
0,0.17217,0,0,0
0,0,0,0,0.18193
0,0,0,0,0
0,0,0,0.073824,0
0.17367,0.063063,0,0,0.25894
0,0,0,0.1371,0.10335
0,0,0.45373,0.13213,0.27821
0,0.41331,0.47137,0.89653,2.1603
0.38469,0.53538,1.1246,0.35,0.6501
0.22042,0.71375,1.6826,0.89238,1.0781
0.1459,0.76443,1.4361,1.1917,0.8993
0.10711,0.77511,1.2321,0.99376,0.93159
0.16813,0.799,0.67574,0.88894,0.92356
0.28343,1.0961,0.50624,1.0052,0.50937
0.67724,0.8656,0.61829,0.37556,0.1973
0.8474,0.43118,0.266,0.17571,0.26617
0.69638,0.4018,0.4015,0.23531,0.47602
0.16983,0.30961,0.26662,0.14725,0.94173
0.41515,0.42204,0.39236,0.37051,0.36504
0.14329,0.24613,0.29274,0.74608,1.0869
0.051763,0.50462,0.44472,0.7999,0.75474
0.11422,0.51433,0.55032,0.92969,1.004
0.32484,0.44847,1.225,0.45756,1.2298
0.30472,0.74869,0.86426,0.80264,0.91274
0.24463,0.35695,0.81963,0.94722,1.2376
0.40359,0.44286,1.4601,1.1182,1.299
0.51882,1.0172,1.2476,1.5688,1.4559
0.48166,0.74707,1.0677,1.8137,0.94944
0.91677,0.96862,0.99601,1.4956,0.91781
0.39366,1.6247,1.4185,1.0715,1.688
0.81463,1.4991,1.6683,1.584,1.7748
0.61809,0.81331,1.3762,1.4844,1.3083
0.71133,0.77817,1.1714,1.2687,1.4497
1.004,1.007,1.3992,1.1438,1.9071
1.2708,1.144,0.95416,2.5935,1.3914
1.0345,1.4689,1.4771,2.6783,2.059
1.0077,1.671,2.2023,1.7717,1.5717
0.73604,1.2268,1.1149,2.3852,2.8311
1.052,1.0476,1.2397,2.1241,1.7383
0.71546,2.0971,2.1801,1.9893,1.827
1.0734,1.4323,1.9654,1.8905,2.1204
0.91453,1.266,1.9486,2.0271,1.8372
1.5006,1.8314,1.4834,2.4434,2.6744
1.3484,2.4121,1.8884,2.4171,1.541
1.2396,2.0042,2.0488,2.1213,2.3277
1.7247,1.5277,2.3212,1.8276,2.612
1.403,0.76011,1.6124,1.683,3.0186
1.0339,2.4122,1.9647,2.6039,1.995
1.8095,2.3065,2.2929,2.5745,1.7559
1.1239,1.9756,2.5847,2.0967,2.2498
1.5833,1.1862,1.3444,2.5762,1.7549
1.5852,2.2117,2.7773,2.3456,2.0244
1.963,1.581,1.8412,1.9292,2.7174
1.7728,1.6549,1.2802,2.938,1.9823
1.8027,2.0481,1.8581,1.7319,2.6324
1.5103,2.4823,1.3962,2.5105,2.072
2.3284,1.9264,2.6342,2.1333,2.4344
1.7562,2.7783,2.4631,2.5691,2.0882
1.7015,2.093,2.5458,1.9861,2.2364
2.3396,1.1378,3.0547,2.4491,2.1918
1.6839,1.2662,1.9803,2.4468,2.6215
2.1226,1.456,2.3303,2.1994,2.9686
1.8819,2.4143,2.4856,2.3013,2.2046
2.0651,2.0493,2.3186,2.4568,1.9536
1.1185,1.6756,2.1579,2.3971,2.9231
2.0605,2.1707,2.4608,1.9439,1.8903
2.0941,1.9414,1.9,1.1043,1.9671
2.0585,1.8991,2.1005,2.6046,2.4581
2.0498,2.5346,1.9369,1.717,2.4368
1.8472,1.8082,1.5026,2.0347,2.4295
2.0503,2.2288,2.0638,1.5524,1.6875
2.0122,2.4625,2.3734,2.6053,1.7652
2.4569,2.497,2.2528,1.0622,2.3507
1.7533,1.7889,2.9017,2.4444,1.502
1.8376,2.4396,2.009,1.8625,2.274
2.2058,2.3531,2.258,1.9177,1.3868
1.7434,2.2273,2.5162,2.8644,1.6024
1.7421,2.1014,2.4123,2.2411,2.8705
1.836,2.103,2.1579,1.8193,2.5146
1.4867,2.9542,1.979,1.1159,1.014
2.0972,2.2425,1.2719,2.0499,2.237
1.937,1.666,2.2557,1.5569,2.4099
0.78766,2.6717,1.982,2.4312,1.6431
1.9357,1.6941,1.3873,2.158,1.0217
0.76873,2.4282,1.2201,2.7773,1.302
2.0209,1.3097,2.6063,2.0055,1.2934
2.2538,2.0776,2.5552,2.9579,1.9576
1.5036,1.4863,1.7741,1.6494,1.6452
1.6394,1.4883,2.7033,2.565,1.3559
1.806,1.6112,1.0037,1.5735,1.6429
1.6509,1.2647,1.6794,1.4136,0.95
1.5404,1.8458,0.90955,1.0622,1.0277
1.7176,2.9651,1.1951,1.561,1.0927
1.5366,1.4573,2.388,1.8182,1.6886
2.1321,1.9082,1.4208,1.1685,0.90002
1.9287,2.906,1.6167,1.2453,2.0948
1.173,1.552,2.0005,1.7496,0.67467
2.3519,1.4341,0.95326,1.3803,1.4384
1.4918,1.552,1.3647,2.272,1.4156
